"label","id","node_feature_0","node_feature_1","node_feature_2","node_feature_3","node_feature_4"
"node_label_0","node_id_0",0.7626247813771332,0.2470581159323454,0.05105403595177349,0.9870837745566148,0.062280313762860695
"node_label_1","node_id_1",0.7864416906513225,0.8772367388411906,0.14543277224031181,0.17735277969342678,0.28835299020610705
"node_label_2","node_id_2",0.9370678728363855,0.41462948469816463,0.06957657773249482,0.3075168896534852,0.020325316271635585
"node_label_3","node_id_3",0.2607647690503876,0.4146696681192228,0.8645819724161549,0.3703356763927086,0.6449498384853558
"node_label_4","node_id_4",0.9382916589587011,0.674324945371066,0.5432717583058168,0.04852495005813795,0.48924090786267094
"node_label_5","node_id_5",0.09417079869180633,0.23528803248320318,0.8780427000988684,0.21771899677107842,0.44815688590287783
"node_label_6","node_id_6",0.3168352738905146,0.44245672152742077,0.11703988525791609,0.2566200706079813,0.9969511034566362
"node_label_7","node_id_7",0.8463126220315886,0.94717026548275,0.4963862972156198,0.7074426132018292,0.28215785359050227
"node_label_8","node_id_8",0.8610687645740291,0.027791778521109922,0.2186626359397763,0.04991874789638684,0.061146695588313205
"node_label_9","node_id_9",0.30569924678535976,0.45449089036452595,0.957698506524736,0.7104435461867912,0.3131577973365388
