"label","id","node_feature_0","node_feature_1","node_feature_2","node_feature_3","node_feature_4"
"node_label_0","node_id_0",0.7530840612332601,0.5046101807817052,0.9134252275141992,0.1939874907186594,0.9081515575088637
"node_label_1","node_id_1",0.5796261206384011,0.09548671125151764,0.3282636777765362,0.9700510495163297,0.6281734133974535
"node_label_2","node_id_2",0.9894899545250223,0.02494718053866063,0.6006693033413377,0.6244320534482387,0.6163429354215005
"node_label_3","node_id_3",0.18097902447655745,0.07092477064626934,0.05816777892279845,0.3405663685479874,0.4587578338829623
"node_label_4","node_id_4",0.24137397693391793,0.7048243763842474,0.7513334258210661,0.47792734177220975,0.8060995103893327
"node_label_5","node_id_5",0.655289812964841,0.21450585763760166,0.251581096112222,0.016944439082049234,0.8086819939113163
"node_label_6","node_id_6",0.8326543939355644,0.16657010263300775,0.30141469260436815,0.9055202914187224,0.8333122909976926
"node_label_7","node_id_7",0.9106697533105925,0.5292079273472907,0.6385559341467748,0.2687151715560251,0.8656763099493541
"node_label_8","node_id_8",0.21805074713928796,0.7643768628172012,0.28607124736134426,0.7810457362118202,0.2389524677189152
"node_label_9","node_id_9",0.9208395753778361,0.1459867002106443,0.4049212635705012,0.1317939932154848,0.8133882184824324
