"label","id","node_feature_0","node_feature_1","node_feature_2","node_feature_3","node_feature_4"
"node_label_0","node_id_0",0.18525867255996742,0.21589233131790075,0.6641199013048045,0.46636489691865557,0.9144650627582288
"node_label_1","node_id_1",0.08130981820395078,0.8038981039337464,0.9464944925202832,0.48080471458746676,0.6665603859074704
"node_label_2","node_id_2",0.5556482771108044,0.39269685021267353,0.07119673195253085,0.9299820150979252,0.20991524528191663
"node_label_3","node_id_3",0.009704586128502335,0.39063629057228455,0.6128171478787248,0.6735492725297119,0.2665481677517648
"node_label_4","node_id_4",0.8880165947876467,0.977952155485268,0.5606562489750478,0.6892344698487463,0.714528562953198
"node_label_5","node_id_5",0.6673408767942085,0.30329549473194606,0.1417256949672573,0.5279545237550095,0.7784550675908227
"node_label_6","node_id_6",0.97047193931861,0.9765820554959821,0.9660019823794992,0.5704249384968773,0.3976775720103646
"node_label_7","node_id_7",0.5427782090212075,0.6812904508608723,0.4886677143627216,0.12372362380650848,0.0008850283056992536
"node_label_8","node_id_8",0.3322261712397745,0.5948942020966572,0.717461778025037,0.1548254025221747,0.6619352045916007
"node_label_9","node_id_9",0.5050337279553995,0.18077698416664678,0.11720733220378687,0.4994658938470513,0.11094350074392145
