"label","id","node_feature_0","node_feature_1","node_feature_2","node_feature_3","node_feature_4"
"node_label_0","node_id_0",0.8658586734119217,0.8992300790452947,0.8780623352745242,0.6737846370838808,0.3338828297410027
"node_label_1","node_id_1",0.18269442670654978,0.08565180898512537,0.8145534099084292,0.4743997221942412,0.40908138091351753
"node_label_2","node_id_2",0.4959556709505851,0.1507335708780716,0.4007492221264628,0.2384586609977597,0.5234048563668509
"node_label_3","node_id_3",0.08959368730098893,0.06882695387668392,0.04152445524242909,0.7065932649904023,0.19539647452958842
"node_label_4","node_id_4",0.7906461364019637,0.003268253318450043,0.6609265908222999,0.8476394874577273,0.5155020724376356
"node_label_5","node_id_5",0.7004913045751524,0.8223897087954088,0.4941767267678413,0.6423260852318592,0.30092822295007216
"node_label_6","node_id_6",0.5536803898371625,0.8951681256343511,0.28877117754781023,0.4469562871937621,0.42765063957259464
"node_label_7","node_id_7",0.8538773730869244,0.24138830421452173,0.12398935251057996,0.958299022512219,0.6739884119125111
"node_label_8","node_id_8",0.34067281468715915,0.15547667300434231,0.31898103449609416,0.7824911538880025,0.44156624577861037
"node_label_9","node_id_9",0.4081464858183821,0.8219899976495422,0.602457582357322,0.5747295726518437,0.8320034300860056
