"label","id","node_feature_0","node_feature_1","node_feature_2","node_feature_3","node_feature_4"
"node_label_0","node_id_0",0.09480509286878225,0.6204895153233563,0.20028181720300742,0.13244770771389458,0.7643799568871958
"node_label_1","node_id_1",0.4131861747200348,0.22219618029183097,0.9637803074198327,0.8015292909190735,0.08012744080072232
"node_label_2","node_id_2",0.9123690987247245,0.31628526530349355,0.5538107605970755,0.21463532213267933,0.2243032759512129
"node_label_3","node_id_3",0.09321157020875603,0.8278445871710066,0.19225280365218567,0.3951624433854627,0.9601033148772246
"node_label_4","node_id_4",0.261017142618602,0.3598398436905921,0.8105206788752302,0.1629666959567997,0.8511417050468761
"node_label_5","node_id_5",0.7770365307422288,0.1940177294883938,0.02771479561297341,0.20847399337609362,0.820199604230753
"node_label_6","node_id_6",0.8223620379269069,0.8374878519441691,0.7178280826254944,0.5426719741394176,0.20473623745571123
"node_label_7","node_id_7",0.22955628479648948,0.8817869483032532,0.08552373978173378,0.5418005819012466,0.15564014720541652
"node_label_8","node_id_8",0.1305475955288824,0.10340531353495919,0.45320450692371905,0.8169752940181505,0.12111593923539166
"node_label_9","node_id_9",0.0659667041594415,0.23274517185272392,0.5092431630244375,0.8925059725524979,0.032089449417085136
