"from","to","id","edge_attr_0","edge_attr_1","edge_attr_2","edge_attr_3"
"node_id_0","node_id_2","edge_id_0",0.39744214233498665,0.4579101221949168,0.008569636088476718,0.9174903962743984
"node_id_0","node_id_4","edge_id_1",0.4690505073134065,0.26698626845533924,0.774499134383675,0.06085492219721966
"node_id_0","node_id_8","edge_id_2",0.8373090042532646,0.06676435473148068,0.8218094888046877,0.38610829386090006
"node_id_1","node_id_2","edge_id_3",0.30005858115239903,0.23629522219157073,0.45882700710838653,0.4904153661922359
"node_id_1","node_id_3","edge_id_4",0.9218460152431169,0.7986634017273354,0.9591646871922271,0.5422114639887978
"node_id_1","node_id_5","edge_id_5",0.38484586799755005,0.2823946855136896,0.13204169291866175,0.45426457974288026
"node_id_1","node_id_7","edge_id_6",0.3609727175144233,0.3232405414145204,0.11469946669363473,0.4054428868584514
"node_id_2","node_id_0","edge_id_7",0.35553343460973585,0.08770683770732135,0.5761811533265156,0.6963442051497947
"node_id_2","node_id_1","edge_id_8",0.7120305733078116,0.7315436389269075,0.07240701991612808,0.9179921468858545
"node_id_2","node_id_3","edge_id_9",0.7305505573867019,0.8585608853773969,0.7829324547266548,0.7925612347948106
"node_id_2","node_id_4","edge_id_10",0.08213528395447678,0.3612360266141228,0.8726633182186214,0.32741777074596035
"node_id_2","node_id_6","edge_id_11",0.9752729082895942,0.08565765672868486,0.7466415102990626,0.732501881744036
"node_id_2","node_id_7","edge_id_12",0.6777037800771305,0.17825442216889742,0.02974758438036218,0.7007571733913256
"node_id_2","node_id_9","edge_id_13",0.9673251904715314,0.6964007974539282,0.7407876125736877,0.7281007128831732
"node_id_3","node_id_1","edge_id_14",0.28381304050444567,0.8234078879707406,0.8699829344484943,0.9239342867199155
"node_id_3","node_id_2","edge_id_15",0.8282729664991715,0.4411951384053945,0.23218289744420473,0.6499341763501268
"node_id_4","node_id_0","edge_id_16",0.01949969051941014,0.22531914344337922,0.7402168196197358,0.725868186491641
"node_id_4","node_id_2","edge_id_17",0.35055559366671896,0.09792272160252613,0.6684808834919135,0.6217504166548339
"node_id_4","node_id_5","edge_id_18",0.9791806289310078,0.6641129368709584,0.9143915329446574,0.7535759964845582
"node_id_4","node_id_8","edge_id_19",0.04380108915564207,0.6966978065749034,0.024220373811498663,0.4157686721500641
"node_id_5","node_id_1","edge_id_20",0.7770833802225509,0.8654393943251751,0.22001369623889555,0.8334926913596856
"node_id_5","node_id_4","edge_id_21",0.6864144709557627,0.8529084550863765,0.7840028564806477,0.7397757510883314
"node_id_5","node_id_6","edge_id_22",0.06701600880506575,0.7712790694241685,0.8300811180152614,0.5877462014873832
"node_id_5","node_id_9","edge_id_23",0.4967049783626948,0.6040985891293055,0.5229988903781329,0.47089707341446874
"node_id_6","node_id_2","edge_id_24",0.9741559107576514,0.6944644990428042,0.9454083351296383,0.08494256542293299
"node_id_6","node_id_5","edge_id_25",0.0890011524119334,0.7296034246558207,0.9451442953213213,0.7146647730114288
"node_id_7","node_id_1","edge_id_26",0.7929787152221281,0.15866069261685756,0.9668573999157927,0.7744116831846473
"node_id_7","node_id_2","edge_id_27",0.6369295783208601,0.5390362697924234,0.7311080552965594,0.6618702130065288
"node_id_8","node_id_0","edge_id_28",0.08712238384473214,0.9997555989031578,0.7537594152445664,0.8811947126242068
"node_id_8","node_id_4","edge_id_29",0.3682853326975758,0.8740671164371098,0.8369715333481768,0.1560325671013051
"node_id_9","node_id_2","edge_id_30",0.29369945330297575,0.9592912209496317,0.6536957363620112,0.6440721458211708
"node_id_9","node_id_5","edge_id_31",0.4659944361655174,0.8038313474724751,0.6277395974241341,0.27203492062344026
