"label","id","node_feature_0","node_feature_1","node_feature_2","node_feature_3","node_feature_4"
"node_label_0","node_id_0",0.9620464459078956,0.3602634403913836,0.4443223676960536,0.19896991801399022,0.5264330663124973
"node_label_1","node_id_1",0.7302542648443989,0.8171869335796398,0.9914201178689763,0.18793541470365227,0.24440713251811674
"node_label_2","node_id_2",0.6442740767530498,0.3537857946929024,0.25959832282617556,0.6692176230964365,0.18762043433703302
"node_label_3","node_id_3",0.5353359892234723,0.25770272598572197,0.7368031207707177,0.25875396876325685,0.9789220222258929
"node_label_4","node_id_4",0.16615158017364706,0.326913644533259,0.8470927274476223,0.6276322424923092,0.8519726817190374
"node_label_5","node_id_5",0.9989948315579781,0.9577901339130431,0.09732439726681275,0.0011196371794951476,0.4309026920777834
"node_label_6","node_id_6",0.024057200699273862,0.8581585420300439,0.23714878003536588,0.9493063317392814,0.8057379132349899
"node_label_7","node_id_7",0.361089875294902,0.4849885711855685,0.16610533019927098,0.414607042781722,0.4402156051942766
"node_label_8","node_id_8",0.6727098517644119,0.593267244207045,0.325824450176059,0.7086998369432633,0.9658845127352339
"node_label_9","node_id_9",0.24899603533201353,0.8599801911149436,0.7480145541191211,0.5713680112402771,0.2156257110628128
